,eef_x,eef_y,eef_z,object_x,object_y,object_z,diff_x,diff_y,diff_z,diff_obj_x,diff_obj_y,diff_obj_z,sum_x,sum_y,sum_z
145,1.4091315875955508,-0.44933400377489324,1.5152454398589086,1.4075663297990704,-0.4543594876783578,1.5125575790479866,-0.0015652577964804237,-0.005025483903464578,-0.0026878608109219826,6.89317856419347e-05,-0.008917065497181964,0.0006399465970337026,0.013356071540746361,0.18490714369776012,0.0699880904564576
146,1.4092635838867305,-0.4583628566392542,1.5157657001181615,1.407594463651457,-0.463385318442154,1.5130883392811698,-0.0016691202352734358,-0.005022461802899836,-0.00267736083699166,2.8133852386647007e-05,-0.009025830763796205,0.000530760233183214,0.013384205393133008,0.19393297446155633,0.07051885068964081
147,1.4093764801965472,-0.4674284733825085,1.5162031583261353,1.4076068340099883,-0.472441664733175,1.513535601454571,-0.0017696461865588375,-0.005013191350666524,-0.0026675568715643916,1.237035853129953e-05,-0.009056346291020978,0.0004472621734010751,0.013396575751664308,0.2029893207525773,0.07096611286304189
148,1.4094856146243933,-0.4762587051427527,1.516513901809452,1.4076176345982525,-0.4812566195313776,1.5138537042988438,-0.0018679800261407475,-0.004997914388624902,-0.0026601975106081976,1.0800588264192612e-05,-0.008814954798202601,0.00031810284427291613,0.0134073763399285,0.2118042755507799,0.0712842157073148
149,1.409616831351297,-0.4847338183263757,1.5166814265594981,1.4076503999626162,-0.4897102764995054,1.5140255377480887,-0.0019664313886806895,-0.004976458173129694,-0.0026558888114094348,3.276536436369604e-05,-0.008453656968127776,0.00017183344924487365,0.013440141704292197,0.22025793251890768,0.07145604915655968
150,1.4097791648148168,-0.4926184706697502,1.5166925777191467,1.4076972840281876,-0.49757170855318494,1.5140322863733857,-0.0020818807866291866,-0.004953237883434769,-0.0026602913457609567,4.688406557140645e-05,-0.007861432053679562,6.748625297037236e-06,0.013487025769863603,0.22811936457258725,0.07146279778185671
151,1.4099073320324824,-0.49986780826493055,1.516548886156837,1.4075785852549494,-0.504867304644513,1.5138342996844534,-0.0023287467775330306,-0.004999496379582469,-0.002714586472383651,-0.00011869877323822386,-0.0072955960913280715,-0.00019798668893233895,0.013605724543101827,0.23541496066391532,0.07166078447078905
152,1.4099883840281278,-0.5067784505234227,1.516301190955984,1.4075727115100254,-0.5117712487242767,1.5135746959606828,-0.002415672518102374,-0.004992798200853965,-0.0027264949953011985,-5.873744924000945e-06,-0.006903944079763691,-0.00025960372377054064,0.013611598288025828,0.242318904743679,0.07192038819455959
153,1.4100344122385366,-0.5139125828215908,1.5160303353976532,1.407536108299769,-0.5188871737898442,1.5132965857536664,-0.0024983039387675987,-0.004974590968253367,-0.0027337496439867603,-3.660321025633628e-05,-0.007115925065567463,-0.0002781102070164021,0.013648201498282164,0.24943482980924647,0.072198498401576
154,1.4100582508982693,-0.5213247933391051,1.5157829380648042,1.4074738888105576,-0.5262739158563192,1.513043986655935,-0.0025843620877117335,-0.004949122517214133,-0.0027389514088691502,-6.221948921147913e-05,-0.007386742066475049,-0.00025259909773134304,0.013710420987493643,0.2568215718757215,0.07245109749930734
155,1.4101088124285455,-0.5290381697395456,1.515597359102219,1.4074362517784664,-0.5339561288967447,1.5128529416577274,-0.0026725606500790366,-0.004917959157199059,-0.002744417444491498,-3.763703209114233e-05,-0.00768221304042549,-0.00019104499820765675,0.013748058019584786,0.264503784916147,0.072642142497515
156,1.4102998624389764,-0.536987154232259,1.515564636284057,1.4075419771131938,-0.5418685257347503,1.5128098808751405,-0.002757885325782583,-0.0048813715024913495,-0.002754755408916454,0.00010572533472741341,-0.007912396838005598,-4.3060782586978874e-05,0.013853783354312199,0.2724161817541526,0.07268520328010197
157,1.4104389060633236,-0.5446291671298812,1.5154750696757904,1.4075168988465134,-0.5494912728075296,1.5126752031496065,-0.0029220072168101296,-0.004862105677648443,-0.002799866526183914,-2.5078266680411687e-05,-0.007622747072779323,-0.0001346777255339937,0.01387886162099261,0.28003892882693193,0.07281988100563597
